PCA dim:,accuracy,sample_size,time
10,0.6433333333333333,1000,1.1224119663238525
10,0.635,2000,6.630147695541382
10,0.7,3000,15.187037706375122
20,0.6433333333333333,1000,1.3342180252075195
20,0.635,2000,7.723252296447754
20,0.7,3000,20.5010929107666
50,0.6433333333333333,1000,2.1236205101013184
50,0.635,2000,10.954722166061401
50,0.7,3000,24.28667140007019
100,0.6433333333333333,1000,2.1340718269348145
100,0.635,2000,7.2758848667144775
100,0.7,3000,14.859306812286377
10,0.6433333333333333,1000,1.0722177028656006
10,0.635,2000,5.915379047393799
10,0.7,3000,14.64068341255188
20,0.6433333333333333,1000,1.327268362045288
20,0.635,2000,7.522036552429199
20,0.7,3000,18.80457878112793
50,0.6433333333333333,1000,2.0799694061279297
50,0.635,2000,10.096832275390625
50,0.7,3000,23.344318389892578
100,0.6433333333333333,1000,2.1473283767700195
100,0.635,2000,7.2957923412323
100,0.7,3000,14.822645425796509
